File name,Artist,Short Description,Long Description
board-11-14-2020.png,DAAMIT Discord Server,Aggie.io Board<br/>Prompt: Vacation Experience,Aggie.io Board - Vacation Experience
board-10-31-2020-halloween.png,DAAMIT Discord Server,Aggie.io Board<br/>Prompt: Halloween,Aggie.io Board - Halloween
board-10-17-2020-scales.png,DAAMIT Discord Server,Aggie.io Board<br/>Prompt: Scales,Aggie.io Board - Scales
board-10-10-2020-fav-plant.png,DAAMIT Discord Server,Aggie.io Board<br/>Prompt: Favorite Plant,Aggie.io Board - Favorite Plant
board-10-03-2020-lizard-brain.png,DAAMIT Discord Server,Aggie.io Board<br/>Prompt: Lizard/Brain,Aggie.io Board - Lizard/Brain
board-9-26-2020-monster.png,DAAMIT Discord Server,Aggie.io Board<br/>Prompt: Monster,Aggie.io Board - Monster
board-9-19-2020-pumpkin.png,DAAMIT Discord Server,Aggie.io Board<br/>Prompt: Pumpkin,Aggie.io Board - Pumpkin
board-9-12-2020-fav-char.png,DAAMIT Discord Server,Aggie.io Board<br/>Prompt: Favorite Character,Aggie.io Board - Favorite Character
bowen-wu-reading-map.png,Bowen Wu,A Rest at Dirtmouth,A Rest at Dirtmouth
brinley-zhao-cloud-light.jpg,Brinley Zhao,Clouds and Light,Clouds and Light
skylar-larsen-seasons.png,Skylar Larsen,Seasons in Moominvalley,Seasons in Moominvalley
aria-kydd-eclipse.jpg,Aria Kydd,Eclipse (WIP),Eclipse (WIP)
jamboard-8-22-2020-cat.png,DAAMIT Discord Server,Google Jamboard<br/>Prompt: Cat,Google Jamboard - Cat
raphi-kang-daamit.png,Raphi Kang,March 2020 Challenge<br class='dash-break'/>Design a Possible Sticker for DAAMIT,3/2020 - CPW Swag
bowen-wu-dragonfly.jpg,Bowen Wu,December 2019 Challenge<br class='dash-break'/>Secret Santa,12/2019 - Secret Santa
amani-toussaint-hand.gif,Amani Toussaint,October 2019 Challenge<br class='dash-break'/>Short GIF,10/2019 - Short GIF
shen-meetup.jpg,MITAG Members,Shen Comix Meetup,Shen Comix Meetup
mitag-shen-collab.jpg,MITAG Members,Shen Comix Collab,Shen Comix Collab
first-meeting-2019.jpg,MITAG Members,September 2019 - First Meeting,9/2019 - First Meeting